Date_of_Accusation,Name_of_Accused,Gender,Location_of_Case,Charge,Result_of_Case,latitude,longitude,geo_precision
1302,Jens_Grand,Male,Sjælland,Witchcraft,Dismissed_from_office,55.5455979,11.6973741,original
1471,Unknown,Male,"Slagelse, Sjælland",Theft_and_Witchcraft,Guilty_execution_of_burning_at_the_stake_and_severed_hands,55.4061196,11.3525415,original
1530,Jørgen_Olløss_wife,Female,"Bornholm,_Sankt_Hans_sogn, Skånelandene",Witchcraft,Unknown,55.9833,13.5833,region
1530,Laurs_Kyllings_wife,Female,"Bornholm,_Sankt_Hans_sogn, Skånelandene",Witchcraft,Unknown,55.9833,13.5833,region
1532,Per_Svenske,Male,"Malmø, Skånelandene",Witchcraft_or_Secret_Arts_Defamation_case,Settlement,55.605,13.0038,town
1533,Hr._Hans_Pedersen,Male,"Horsens, Tyltered, Nørrejylland",Witchcraft,Unknown,55.8607,9.8503,town
1537-1543,Palladius_omtale_af_brændte_troldfolk,multiple_people,"Skåne, Sjælland",Witchcraft,Guilty_execution_of_burning_at_the_stake,54.6401765,11.8088437,original
1540,Boeld_Lauritzes,Female,"Stege, Møn",Witchcraft,Guilty_execution_of_burning_at_the_stake,54.9868137,12.2868603,original
1540,Karen_Grottes,Female,"Stege, Møn",Witchcraft,Guilty_execution_of_burning_at_the_stake,54.9868137,12.2868603,original
1540,Maye_Harskaars,Female,"Hads_herred, Bjerre_herred, Nørrejylland",Witchcraft,Guilty_execution_of_burning_at_the_stake,55.9667,10.1167,herred
1543,Maren_Jude,Female,"Stege, Møn",Witchcraft,Guilty_execution_of_burning_at_the_stake,54.9868137,12.2868603,original
1543,Anne_Simens,Female,"Stege, Møn",Witchcraft,Guilty_execution_of_burning_at_the_stake,54.9868137,12.2868603,original
1543,Anne_Skrædders,Female,"Stege, Møn",Witchcraft,Guilty_execution_of_burning_at_the_stake,54.9868137,12.2868603,original
1543,Fru_Beritte_ved_Helsingør,Female,"Helsingør, Sjælland",Witchcraft_Denunciation,Unknown,56.0347693,12.6133829,original
1543,Hr._Jens_Poste,Male,"Skåne, Skånelandene",Witchcraft_Denunciation,Unknown,55.9833,13.5833,region
1543,Hr._Jochim,Male,"Skåne, Skånelandene",Witchcraft_Denunciation,Unknown,55.9833,13.5833,region
1543,Hr._Niels_Lauentzfar,Male,"Skåne, Skånelandene",Witchcraft_Denunciation,Unknown,55.9833,13.5833,region
1543,Dorette_Judekvinde,Female,"København, Sjælland",Witchcraft_Denunciation,Unknown,55.664265,12.5736138,original
1543,Fru_Anna_Thygis_widt_den_store_steen,Female,,Witchcraft_Denunciation,Unknown,,,
1543,Fru_Magdalene_ved_Trelleborg,Female,"Skåne, Trelleborg, Skånelandene",Witchcraft_Denunciation,Unknown,55.3753,13.1567,town
1543,Fru_Boild,Female,,Witchcraft_Denunciation,Unknown,,,
1543,Kirstine_Prestedeye,Female,"København, Sjælland",Witchcraft_Denunciation,Unknown,55.664265,12.5736138,original
1543,Nogle_rytterkoner,Female,,Witchcraft_Denunciation,Unknown,,,
1543,Jens_Aalborgs_wife,Female,,Witchcraft_Denunciation,Unknown,,,
1543,Bente_Bagers,Female,,Witchcraft_Denunciation,Unknown,,,
1543,Thora,Female,"København, Sjælland",Witchcraft_Denunciation,Unknown,55.664265,12.5736138,original
1543,Gyde_Spandemager,Female,"Helsingør, Sjælland",Witchcraft,Guilty_execution_of_burning_at_the_stake,56.0347693,12.6133829,original
1544,Unknown,multiple_people,"København, Sjælland",Witchcraft,Guilty_execution_of_burning_at_the_stake,55.664265,12.5736138,original
1544,Gyde_Spandemager,Female,"Malmø, Skånelandene",Witchcraft_or_Secret_Arts,Guilty_execution_of_burning_at_the_stake,55.605,13.0038,town
1545,Tøuerischen_troldmand,Male,"Bornholm, Skånelandene",Witchcraft,Unknown,55.9833,13.5833,region
1545,Unknown,Female,"Køge, Sjælland",Witchcraft,Guilty_execution_of_burning_at_the_stake,55.4565009,12.1818964,original
1545,Unknown,Female,"Køge, Sjælland",Witchcraft,Guilty_execution_of_burning_at_the_stake,55.4565009,12.1818964,original
1545,Niels_Skriver,Male,"Køge, Sjælland",Witchcraft,Guilty_execution_of_burning_at_the_stake,55.4565009,12.1818964,original
1547,Jens_Andersens_far,Male,"Holbo_herred, Sjælland",Witchcraft,Guilty_execution_of_burning_at_the_stake,55.41667,11.83333,original
"1548, 1553",Hr._Ole,Male,"Limfjorden, Nørrejylland",Secret_Arts,Guilty_Dismissed_from_office,56.2639,9.5018,region
1548,Dorothea,Female,"Roskilde, Sjælland",Witchcraft,Guilty_execution_of_burning_at_the_stake,55.6433478,12.0819247,original
1548,Sidsel_Lerbæks,Female,"Roskilde, Sjælland",Witchcraft,Guilty_execution_of_burning_at_the_stake,55.6433478,12.0819247,original
1549,Elline_Mørch,Female,"Sømme_Herred, Kornerup, Sjælland",Witchcraft,Guilty_execution_of_burning_at_the_stake,55.63388,11.98203,original
1549,Sidse_Hansdatter,Female,"Sømme_Herred, Kornerup, Sjælland",Witchcraft,Guilty_execution_of_burning_at_the_stake,55.63388,11.98203,original
1549,Ellen_Mørks,Female,"Horsens, Nørrejylland",Witchcraft,Guilty_execution_of_burning_at_the_stake,55.8607,9.8503,town
1550,Hr._Oluf,Male,"Vendelbo_Stift, Mov, Nørrejylland",Witchcraft,Guilty_Dismissed_from_office,56.2639,9.5018,region
1550,Elna_Holgers,Female,"Råby, Skåne, Skånelandene",Witchcraft_Marriage_case,Acquitted_as_no_sanction_for_the_Witchcraft_accusations,55.9833,13.5833,region
1551,Anne_Hans_Kocks_wife,Female,"Nyborg, Fyn",Witchcraft,Guilty,55.3355177,10.7964981,original
1552,Borgerske_i_Ringkøbing,Female,"Ringkøbing, Nørrejylland",Witchcraft,Unknown,56.09,8.2464,town
1552,Per_Tordsens_wife,Female,"Køge, Sjælland",Witchcraft,Unknown,55.4565009,12.1818964,original
1554,Knud_Romor,Male,"Malmø, Skånelandene",Witchcraft_or_Secret_Arts_Defamation_case,Settlement,55.605,13.0038,town
1557,Kirstine_Torbens,Female,"Voldborg_Herred, Hvalsø, Sjælland",Witchcraft,Guilty_execution_of_burning_at_the_stake,55.5917,11.86253,original
