Monarch_name ;birth_year;death_year;start_reign_year;end_reign_year;second_reign_start_year;second_reign_end_year;birth_date;death_date ;start_date_reign;end_date_reign;start_second_reign_date;end_second_reign_date
Anne ;1665;1714;1702;1707;;;1665_02_06;1714_08_01;1702_03_08;1707_05_01;;
William_3;1650;1702;1689;1702;;;1650_11_04;1702_03_08;1689_02_13;1702_03_08;;
Mary_2;1662;1694;1686;1694;;;1662_04_30;1694_12_28;1686_02_13;1694_12_28;;
James_2;1633;1701;1685;1688;;;1633_10_14;1701_09_16;1685_02_06;1688_12_23;;
Charles_2;1630;1685;1660;1685;;;1630_05_29;1685_02_06;1660_05_29;1685_02_06;;
Richard_Cromwell ;1626;1712;1658;1659;;;1626_10_04;1712_07_12;1658_09_03;1659_05_07;;
Oliver_Cromwell;1599;1658;1653;1658;;;1599_04_25;1658_09_03;1653_12_16;1658_09_03;;
Charles_1;1600;1649;1625;1649;;;1600_11_19;1649_01_30;1625_03_27;1649_01_30;;
James_1;1566;1625;1603;1625;;;1566_06_19_;1625_03_27;1603_03_24;1625_03_27;;
Elizabeth_I;1533;1603;1558;1603;;;1533_09_07;1603_03_24;1558_11_17;1603_03_24;;
Phillip ;1527;1598;1554;1558;;;1527_05_21;1598_09_13;1554_07_25;1558_11_17;;
Mary_1;1516;1558;1553;1558;;;1516_02_18;1558_11_17;1553_07_19;1558_11_17;;
Lady_Jane_Grey ;1536;1554;1553;1553;;;1536;1554_02_12;1553_07_10;1553_07_19;;
Edward_6;1537;1553;1547;1553;;;1537_10_12;1553_07_06;1547_01_28;1553_07_06;;
Henry_8;1491;1547;1509;1547;;;1491_06_28;1547_01_28;1509_04_22;1547_01_28;;
Henry_7;1457;1509;1485;1509;;;1457_01_28;1509_04_21;1485_08_22;1509_04_21;;
Richard_3;1452;1485;1483;1485;;;1452_10_02;1485_08_22;1483_06_26;1485_08_22;;
Edward_5;1470;1483;1483;1483;;;1470_11_02;1483;1483_04_09;1483_06_25;;
Edward_4;1442;1483;1461;1470;1471;1483;1442_04_28;1483_04_09;1461_03_04;1470_10_03;1471_04_11;1483_04_09
Henry_6;1421;1471;1422;1461;1470;1471;1421_12_06;1471_05_21;1422_09_01;1461_03_04;1470_10_03;1471_04_11
Henry_5;1386;1422;1413;1422;;;1386_09_16;1422_08_31;1413_03_21;1422_08_31;;
Henry_4;1367;1413;1399;1413;;;1367_04;1413_03_20;1399_09_30;1413_03_20;;
Richard _2;1367;1400;1377;1399;;;1367_01_06;1400_02_14;1377_06_22;1399_09_29;;
Edward_3;1312;1477;1327;1377;;;1312_11_13;1477_06_21;1327_01_25;1377_06_21;;
Edward_2;1284;1327;1307;1327;;;1284_04_25;1327_09_21;1307_07_08;1327_01_20;;
Edward_1;1239;1307;1272;1307;;;1239_06_17;1307_07_07;1272_11_20;1307_07_07;;
Henry_3;1207;1272;1216;1272;;;1207_10_01;1272_11_16;1216_10_28;1272_11_16;;
Louis;1187;1226;1216;1217;;;1187_09_05;1226_11_08;1216_06_02;1217_09_20;;
John ;1166;1216;1199;1216;;;1166_12_24;1216_10_19;1199_05_27;1216_10_19;;
Richard_1;1157;1199;1189;1199;;;1157_09_08;1199_04_06;1189_09_03;1199_04_06;;
Henry_2;1133;1189;1154;1189;;;1133_03_05;1189_07_06;1154_12_19;1189_07_06;;
Stephan ;1096;1154;1135;1154;;;1096;1154_10_25;1135_12_22;1154_10_25;;
Matilda ;1102;1167;1141;1141;;;1102_02_07;1167_09_10;1141_04_07;1141_11_01;;
Henry_1;1068;1135;1100;1135;;;1068_09;1135_12_01;1100_08_05;1135_12_01;;
William_2;1056;1100;1087;1100;;;1056;1100_ 08_02;1087_09_26;1100_08_02;;
William_1;1028;1087;1066;1087;;;1028;1087_09_09;1066_12_25;1087_09_09;;
Edgar _Aetheling ;1051;1125;1066;1066;;;1051;1125;1066_10_15;1066_12_17;;
Harold_2;1022;1066;1066;1066;;;1022;1066_10_14;1066_01_06;1066_10_14;;
Edward _the _Confessor ;1003;1066;1042;1066;;;1003;1066_01_05;1042_06_08;1066_01_05;;
Harthacnut ;1018;1042;1040;1042;;;1018;1042_06_08;1040_03_17;1042_06_08;;
Harold _Harefoot ;1016;1040;1035;1040;;;1016;1040_03_17;1035_11_12;1040_03_17;;
Cnut_the_Great ;995;1035;1016;1035;;;995;1035_11_12;1016_04_23;1035_11_12;;
Edmund Ironside ;990;1016;1016;1016;;;990;1016_11_30;1016_04_23;1016_11_30;;
Aethelred_the _Unready ;966;1016;978;1013;;;966;1016_04_23;978_03_18;1013;;
Edward_the_Martyr ;962;978;975;978;;;962;978_03_18;975_07_8;978_03_18;;
Edgar_the_Peaceful;943;975;959;975;;;943;975_07_8;959_10_1;975_07_08;;
Eadwig_All_Fair;940;959;955;959;;;940;959_10_01;955_11_23;959_10_01;;
Eadred;923;955;946;955;;;923;955_11_23;946_05_26;955_11_23;;
Edmund _the_Magnificent ;921;946;939;946;;;921;946_05_26;939_10_27;946_05_26;;
